Query: to
----------------------------------------
Results (Okapi BM25):
  Document: speech_30.txt, Score: 0.0192
  Document: speech_19.txt, Score: 0.3392
  Document: speech_2.txt, Score: 0.3384
  Document: speech_50.txt, Score: 0.3370
  Document: speech_23.txt, Score: 0.3369
  Document: speech_47.txt, Score: 0.3323
  Document: speech_31.txt, Score: 0.3311
  Document: speech_52.txt, Score: 0.3244
  Document: speech_17.txt, Score: 0.3228
  Document: speech_51.txt, Score: 0.3221
  Document: speech_6.txt, Score: 0.3066
  Document: speech_42.txt, Score: 0.3056
  Document: speech_18.txt, Score: 0.3015
  Document: speech_13.txt, Score: 0.2836
  Document: speech_14.txt, Score: 0.2810
  Document: speech_21.txt, Score: 0.2657
  Document: speech_34.txt, Score: 0.2616
  Document: speech_7.txt, Score: 0.2606
  Document: speech_54.txt, Score: 0.2597
  Document: speech_33.txt, Score: 0.2576
  Document: speech_12.txt, Score: 0.2514
  Document: speech_40.txt, Score: 0.2447
  Document: speech_5.txt, Score: 0.2404
  Document: speech_39.txt, Score: 0.2323
  Document: speech_9.txt, Score: 0.2021
  Document: speech_8.txt, Score: 0.1892
  Document: speech_55.txt, Score: 0.0712
  Document: speech_43.txt, Score: 0.0691
  Document: speech_44.txt, Score: 0.0639
  Document: speech_20.txt, Score: 0.0607
  Document: speech_22.txt, Score: 0.0599
  Document: speech_53.txt, Score: 0.0560
  Document: speech_37.txt, Score: 0.0539
  Document: speech_28.txt, Score: 0.0522
  Document: speech_38.txt, Score: 0.0189

Results (LM with Jelinek-Mercer):
  Document: speech_3.txt, Score: -15.7044
  Document: speech_36.txt, Score: -15.9464
  Document: speech_29.txt, Score: -15.9553
  Document: speech_16.txt, Score: -15.9699
  Document: speech_0.txt, Score: -15.9699
  Document: speech_46.txt, Score: -16.0231
  Document: speech_15.txt, Score: -16.0269
  Document: speech_25.txt, Score: -16.1582
  Document: speech_2.txt, Score: -16.1983
  Document: speech_32.txt, Score: -16.2689
  Document: speech_42.txt, Score: -16.3267
  Document: speech_27.txt, Score: -16.3465
  Document: speech_30.txt, Score: -16.3895
  Document: speech_41.txt, Score: -16.5035
  Document: speech_49.txt, Score: -16.5187
  Document: speech_52.txt, Score: -16.5440
  Document: speech_19.txt, Score: -16.5969
  Document: speech_4.txt, Score: -16.5986
  Document: speech_10.txt, Score: -16.6542
  Document: speech_47.txt, Score: -16.6611
  Document: speech_35.txt, Score: -16.6694
  Document: speech_48.txt, Score: -16.7003
  Document: speech_31.txt, Score: -16.7408
  Document: speech_45.txt, Score: -16.7796
  Document: speech_50.txt, Score: -16.7959
  Document: speech_17.txt, Score: -16.8473
  Document: speech_23.txt, Score: -16.9691
  Document: speech_1.txt, Score: -17.0064
  Document: speech_24.txt, Score: -17.0511
  Document: speech_26.txt, Score: -17.0767
  Document: speech_13.txt, Score: -17.1788
  Document: speech_34.txt, Score: -17.1856
  Document: speech_14.txt, Score: -17.1904
  Document: speech_11.txt, Score: -17.2408
  Document: speech_51.txt, Score: -17.3514
  Document: speech_55.txt, Score: -17.4401
  Document: speech_43.txt, Score: -17.4418
  Document: speech_12.txt, Score: -17.4553
  Document: speech_40.txt, Score: -17.4880
  Document: speech_21.txt, Score: -17.5139
  Document: speech_18.txt, Score: -17.5468
  Document: speech_54.txt, Score: -17.5502
  Document: speech_9.txt, Score: -17.6062
  Document: speech_7.txt, Score: -17.6096
  Document: speech_33.txt, Score: -17.6256
  Document: speech_6.txt, Score: -17.6586
  Document: speech_5.txt, Score: -17.7318
  Document: speech_39.txt, Score: -17.9884
  Document: speech_53.txt, Score: -18.2645
  Document: speech_44.txt, Score: -18.3636
  Document: speech_22.txt, Score: -18.4131
  Document: speech_8.txt, Score: -18.4247
  Document: speech_28.txt, Score: -18.5420
  Document: speech_20.txt, Score: -18.5611
  Document: speech_37.txt, Score: -18.7274
  Document: speech_38.txt, Score: -19.4205

========================================

Query: white
----------------------------------------
Results (Okapi BM25):
  Document: speech_49.txt, Score: 0.8017
  Document: speech_14.txt, Score: 0.7386
  Document: speech_27.txt, Score: 0.7297
  Document: speech_24.txt, Score: 0.7083
  Document: speech_47.txt, Score: 0.6918
  Document: speech_5.txt, Score: 0.6559
  Document: speech_39.txt, Score: 0.6385
  Document: speech_10.txt, Score: 0.6274
  Document: speech_37.txt, Score: 0.6177
  Document: speech_7.txt, Score: 0.6144
  Document: speech_28.txt, Score: 0.5892
  Document: speech_23.txt, Score: 0.5752
  Document: speech_22.txt, Score: 0.5565
  Document: speech_50.txt, Score: 0.5502
  Document: speech_46.txt, Score: 0.5490
  Document: speech_6.txt, Score: 0.5485
  Document: speech_25.txt, Score: 0.5449
  Document: speech_29.txt, Score: 0.5382
  Document: speech_21.txt, Score: 0.5368
  Document: speech_51.txt, Score: 0.5366
  Document: speech_35.txt, Score: 0.5330
  Document: speech_33.txt, Score: 0.5182
  Document: speech_45.txt, Score: 0.5150
  Document: speech_48.txt, Score: 0.5149
  Document: speech_54.txt, Score: 0.5118
  Document: speech_41.txt, Score: 0.5104
  Document: speech_16.txt, Score: 0.5100
  Document: speech_34.txt, Score: 0.5090
  Document: speech_32.txt, Score: 0.5037
  Document: speech_12.txt, Score: 0.4921
  Document: speech_36.txt, Score: 0.4778
  Document: speech_30.txt, Score: 0.4713
  Document: speech_40.txt, Score: 0.4692
  Document: speech_44.txt, Score: 0.4680
  Document: speech_0.txt, Score: 0.2818
  Document: speech_1.txt, Score: 0.0000
  Document: speech_11.txt, Score: 0.0000
  Document: speech_13.txt, Score: 0.0000
  Document: speech_15.txt, Score: 0.0000
  Document: speech_17.txt, Score: 0.0000
  Document: speech_18.txt, Score: 0.0000
  Document: speech_19.txt, Score: 0.0000
  Document: speech_2.txt, Score: 0.0000
  Document: speech_20.txt, Score: 0.0000
  Document: speech_26.txt, Score: 0.0000
  Document: speech_3.txt, Score: 0.0000
  Document: speech_31.txt, Score: 0.0000
  Document: speech_38.txt, Score: 0.0000
  Document: speech_4.txt, Score: 0.0000
  Document: speech_42.txt, Score: 0.0000
  Document: speech_43.txt, Score: 0.0000
  Document: speech_52.txt, Score: 0.0000
  Document: speech_53.txt, Score: 0.0000
  Document: speech_55.txt, Score: 0.0000
  Document: speech_8.txt, Score: 0.0000
  Document: speech_9.txt, Score: 0.0000

Results (LM with Jelinek-Mercer):
  Document: speech_49.txt, Score: -6.6489
  Document: speech_14.txt, Score: -6.8936
  Document: speech_27.txt, Score: -6.9513
  Document: speech_24.txt, Score: -7.0796
  Document: speech_47.txt, Score: -7.1709
  Document: speech_5.txt, Score: -7.3506
  Document: speech_28.txt, Score: -7.4059
  Document: speech_39.txt, Score: -7.4297
  Document: speech_10.txt, Score: -7.4783
  Document: speech_23.txt, Score: -7.4791
  Document: speech_37.txt, Score: -7.5194
  Document: speech_22.txt, Score: -7.5716
  Document: speech_50.txt, Score: -7.6009
  Document: speech_7.txt, Score: -7.6041
  Document: speech_46.txt, Score: -7.6069
  Document: speech_25.txt, Score: -7.6255
  Document: speech_29.txt, Score: -7.6560
  Document: speech_21.txt, Score: -7.6623
  Document: speech_51.txt, Score: -7.6632
  Document: speech_35.txt, Score: -7.6794
  Document: speech_33.txt, Score: -7.7432
  Document: speech_45.txt, Score: -7.7568
  Document: speech_48.txt, Score: -7.7572
  Document: speech_54.txt, Score: -7.7702
  Document: speech_41.txt, Score: -7.7759
  Document: speech_16.txt, Score: -7.7776
  Document: speech_34.txt, Score: -7.7818
  Document: speech_6.txt, Score: -7.7845
  Document: speech_32.txt, Score: -7.8035
  Document: speech_12.txt, Score: -7.8500
  Document: speech_36.txt, Score: -7.9053
  Document: speech_30.txt, Score: -7.9301
  Document: speech_40.txt, Score: -7.9380
  Document: speech_44.txt, Score: -7.9423
  Document: speech_0.txt, Score: -8.5318
  Document: speech_1.txt, Score: -9.2360
  Document: speech_11.txt, Score: -9.2360
  Document: speech_13.txt, Score: -9.2360
  Document: speech_15.txt, Score: -9.2360
  Document: speech_17.txt, Score: -9.2360
  Document: speech_18.txt, Score: -9.2360
  Document: speech_19.txt, Score: -9.2360
  Document: speech_2.txt, Score: -9.2360
  Document: speech_20.txt, Score: -9.2360
  Document: speech_26.txt, Score: -9.2360
  Document: speech_3.txt, Score: -9.2360
  Document: speech_31.txt, Score: -9.2360
  Document: speech_38.txt, Score: -9.2360
  Document: speech_4.txt, Score: -9.2360
  Document: speech_42.txt, Score: -9.2360
  Document: speech_43.txt, Score: -9.2360
  Document: speech_52.txt, Score: -9.2360
  Document: speech_53.txt, Score: -9.2360
  Document: speech_55.txt, Score: -9.2360
  Document: speech_8.txt, Score: -9.2360
  Document: speech_9.txt, Score: -9.2360

========================================

Query: future i
----------------------------------------
Results (Okapi BM25):
  Document: speech_20.txt, Score: 0.6607
  Document: speech_10.txt, Score: 0.6356
  Document: speech_11.txt, Score: 0.6306
  Document: speech_12.txt, Score: 0.6305
  Document: speech_21.txt, Score: 0.6064
  Document: speech_44.txt, Score: 0.5985
  Document: speech_14.txt, Score: 0.5977
  Document: speech_43.txt, Score: 0.5914
  Document: speech_52.txt, Score: 0.5868
  Document: speech_33.txt, Score: 0.5758
  Document: speech_54.txt, Score: 0.5711
  Document: speech_27.txt, Score: 0.5621
  Document: speech_15.txt, Score: 0.5592
  Document: speech_25.txt, Score: 0.5543
  Document: speech_24.txt, Score: 0.5501
  Document: speech_35.txt, Score: 0.5473
  Document: speech_16.txt, Score: 0.5363
  Document: speech_31.txt, Score: 0.5354
  Document: speech_13.txt, Score: 0.5286
  Document: speech_30.txt, Score: 0.5162
  Document: speech_23.txt, Score: 0.5149
  Document: speech_18.txt, Score: 0.5107
  Document: speech_55.txt, Score: 0.5059
  Document: speech_37.txt, Score: 0.4979
  Document: speech_26.txt, Score: 0.4966
  Document: speech_29.txt, Score: 0.4942
  Document: speech_19.txt, Score: 0.4876
  Document: speech_34.txt, Score: 0.4767
  Document: speech_17.txt, Score: 0.4635
  Document: speech_38.txt, Score: 0.4427
  Document: speech_22.txt, Score: 0.3913
  Document: speech_48.txt, Score: 0.3639
  Document: speech_41.txt, Score: 0.3604
  Document: speech_32.txt, Score: 0.3564
  Document: speech_1.txt, Score: 0.3465
  Document: speech_36.txt, Score: 0.3380
  Document: speech_3.txt, Score: 0.3147
  Document: speech_4.txt, Score: 0.2997
  Document: speech_2.txt, Score: 0.2950
  Document: speech_9.txt, Score: 0.2505
  Document: speech_7.txt, Score: 0.2451
  Document: speech_8.txt, Score: 0.0192
  Document: speech_0.txt, Score: 0.0192
  Document: speech_6.txt, Score: 0.0191
  Document: speech_50.txt, Score: 0.0186
  Document: speech_39.txt, Score: 0.0185
  Document: speech_40.txt, Score: 0.0184
  Document: speech_47.txt, Score: 0.0183
  Document: speech_46.txt, Score: 0.0183
  Document: speech_49.txt, Score: 0.0183
  Document: speech_45.txt, Score: 0.0183
  Document: speech_51.txt, Score: 0.0182
  Document: speech_42.txt, Score: 0.0182
  Document: speech_5.txt, Score: 0.0181
  Document: speech_28.txt, Score: 0.0175
  Document: speech_53.txt, Score: 0.0162

Results (LM with Jelinek-Mercer):
  Document: speech_11.txt, Score: -9.9884
  Document: speech_15.txt, Score: -10.0161
  Document: speech_10.txt, Score: -10.0304
  Document: speech_20.txt, Score: -10.0607
  Document: speech_21.txt, Score: -10.3146
  Document: speech_52.txt, Score: -10.4557
  Document: speech_55.txt, Score: -10.5260
  Document: speech_27.txt, Score: -10.5503
  Document: speech_14.txt, Score: -10.5828
  Document: speech_25.txt, Score: -10.6024
  Document: speech_44.txt, Score: -10.6157
  Document: speech_12.txt, Score: -10.7168
  Document: speech_13.txt, Score: -10.7594
  Document: speech_24.txt, Score: -10.8194
  Document: speech_33.txt, Score: -10.9592
  Document: speech_43.txt, Score: -10.9617
  Document: speech_37.txt, Score: -10.9692
  Document: speech_19.txt, Score: -11.0908
  Document: speech_30.txt, Score: -11.1067
  Document: speech_29.txt, Score: -11.2569
  Document: speech_23.txt, Score: -11.2933
  Document: speech_18.txt, Score: -11.3125
  Document: speech_16.txt, Score: -11.3148
  Document: speech_26.txt, Score: -11.3796
  Document: speech_35.txt, Score: -11.3807
  Document: speech_1.txt, Score: -11.4583
  Document: speech_54.txt, Score: -11.4700
  Document: speech_48.txt, Score: -11.5084
  Document: speech_34.txt, Score: -11.5281
  Document: speech_31.txt, Score: -11.5367
  Document: speech_32.txt, Score: -11.5644
  Document: speech_38.txt, Score: -11.5860
  Document: speech_8.txt, Score: -11.6148
  Document: speech_0.txt, Score: -11.6949
  Document: speech_22.txt, Score: -11.7514
  Document: speech_17.txt, Score: -11.7551
  Document: speech_6.txt, Score: -11.8430
  Document: speech_7.txt, Score: -11.9243
  Document: speech_41.txt, Score: -12.0106
  Document: speech_3.txt, Score: -12.0472
  Document: speech_4.txt, Score: -12.0738
  Document: speech_2.txt, Score: -12.2514
  Document: speech_36.txt, Score: -12.3129
  Document: speech_9.txt, Score: -12.4628
  Document: speech_50.txt, Score: -12.5583
  Document: speech_42.txt, Score: -12.6749
  Document: speech_39.txt, Score: -12.6929
  Document: speech_46.txt, Score: -12.7345
  Document: speech_49.txt, Score: -12.7349
  Document: speech_40.txt, Score: -12.7370
  Document: speech_47.txt, Score: -12.7619
  Document: speech_45.txt, Score: -12.7705
  Document: speech_51.txt, Score: -12.7735
  Document: speech_5.txt, Score: -12.9008
  Document: speech_28.txt, Score: -12.9919
  Document: speech_53.txt, Score: -13.1280

========================================

Query: new hope i
----------------------------------------
Results (Okapi BM25):
  Document: speech_15.txt, Score: 1.9264
  Document: speech_53.txt, Score: 1.6763
  Document: speech_19.txt, Score: 1.5927
  Document: speech_8.txt, Score: 1.5876
  Document: speech_54.txt, Score: 1.5797
  Document: speech_12.txt, Score: 1.5551
  Document: speech_13.txt, Score: 1.4100
  Document: speech_27.txt, Score: 1.3384
  Document: speech_25.txt, Score: 1.3010
  Document: speech_24.txt, Score: 1.2890
  Document: speech_21.txt, Score: 1.2860
  Document: speech_46.txt, Score: 1.2735
  Document: speech_45.txt, Score: 1.2332
  Document: speech_52.txt, Score: 1.1801
  Document: speech_44.txt, Score: 1.1465
  Document: speech_40.txt, Score: 1.1414
  Document: speech_18.txt, Score: 1.1329
  Document: speech_39.txt, Score: 1.1108
  Document: speech_1.txt, Score: 1.1101
  Document: speech_11.txt, Score: 1.0605
  Document: speech_4.txt, Score: 1.0349
  Document: speech_26.txt, Score: 0.1910
  Document: speech_14.txt, Score: 0.1893
  Document: speech_33.txt, Score: 0.1871
  Document: speech_35.txt, Score: 0.1871
  Document: speech_31.txt, Score: 0.1859
  Document: speech_17.txt, Score: 0.1845
  Document: speech_32.txt, Score: 0.1837
  Document: speech_30.txt, Score: 0.1831
  Document: speech_29.txt, Score: 0.1824
  Document: speech_9.txt, Score: 0.1819
  Document: speech_41.txt, Score: 0.1804
  Document: speech_20.txt, Score: 0.1797
  Document: speech_10.txt, Score: 0.1787
  Document: speech_51.txt, Score: 0.1777
  Document: speech_43.txt, Score: 0.1759
  Document: speech_34.txt, Score: 0.1758
  Document: speech_2.txt, Score: 0.1754
  Document: speech_42.txt, Score: 0.1724
  Document: speech_50.txt, Score: 0.1721
  Document: speech_7.txt, Score: 0.1710
  Document: speech_16.txt, Score: 0.1617
  Document: speech_23.txt, Score: 0.1606
  Document: speech_22.txt, Score: 0.1586
  Document: speech_36.txt, Score: 0.1575
  Document: speech_3.txt, Score: 0.1536
  Document: speech_6.txt, Score: 0.1522
  Document: speech_0.txt, Score: 0.1440
  Document: speech_38.txt, Score: 0.1279
  Document: speech_37.txt, Score: 0.1262
  Document: speech_55.txt, Score: 0.1159
  Document: speech_47.txt, Score: 0.1082
  Document: speech_5.txt, Score: 0.1012
  Document: speech_48.txt, Score: 0.0188
  Document: speech_49.txt, Score: 0.0183
  Document: speech_28.txt, Score: 0.0175

Results (LM with Jelinek-Mercer):
  Document: speech_15.txt, Score: -15.8828
  Document: speech_27.txt, Score: -17.1344
  Document: speech_13.txt, Score: -17.1868
  Document: speech_8.txt, Score: -17.3107
  Document: speech_24.txt, Score: -17.3428
  Document: speech_25.txt, Score: -17.3700
  Document: speech_21.txt, Score: -17.4441
  Document: speech_52.txt, Score: -17.6161
  Document: speech_12.txt, Score: -17.7575
  Document: speech_19.txt, Score: -17.7983
  Document: speech_44.txt, Score: -17.8507
  Document: speech_18.txt, Score: -18.0221
  Document: speech_11.txt, Score: -18.0800
  Document: speech_54.txt, Score: -18.2546
  Document: speech_45.txt, Score: -18.2558
  Document: speech_53.txt, Score: -18.3731
  Document: speech_40.txt, Score: -18.3806
  Document: speech_46.txt, Score: -18.6093
  Document: speech_4.txt, Score: -18.6272
  Document: speech_1.txt, Score: -18.6926
  Document: speech_39.txt, Score: -18.7107
  Document: speech_14.txt, Score: -18.8185
  Document: speech_26.txt, Score: -18.8385
  Document: speech_32.txt, Score: -19.0549
  Document: speech_33.txt, Score: -19.2007
  Document: speech_30.txt, Score: -19.2572
  Document: speech_10.txt, Score: -19.3084
  Document: speech_29.txt, Score: -19.3163
  Document: speech_35.txt, Score: -19.3846
  Document: speech_0.txt, Score: -19.5227
  Document: speech_6.txt, Score: -19.5402
  Document: speech_17.txt, Score: -19.5457
  Document: speech_31.txt, Score: -19.5489
  Document: speech_41.txt, Score: -19.6506
